Campaign_Name,Total_Leads,Total_Conversions,Total_Spend,Conversion_Rate_%,Cost_Per_Lead,Cost_Per_Conversion
Campaign 2,389,371,90003,95.37275064267352,231.37017994858613,242.5956873315364
Campaign 27,477,414,49196,86.79245283018868,103.13626834381552,118.83091787439614
Campaign 21,777,451,17108,58.04375804375804,22.01801801801802,37.933481152993345
Campaign 22,808,464,32038,57.42574257425742,39.6509900990099,69.04741379310344
Campaign 12,583,334,62451,57.289879931389365,107.12006861063465,186.97904191616766
Campaign 17,770,367,66054,47.66233766233766,85.78441558441558,179.98365122615803
Campaign 15,737,338,62452,45.86160108548169,84.7381275440977,184.76923076923077
Campaign 5,697,293,17795,42.03730272596843,25.530846484935438,60.73378839590443
Campaign 30,297,118,37778,39.73063973063973,127.1986531986532,320.1525423728813
Campaign 23,1213,403,61964,33.22341302555647,51.08326463314097,153.75682382133996
