Campaign_Name,Total_Leads,Total_Conversions,Total_Spend,Conversion_Rate_%,Cost_Per_Lead,Cost_Per_Conversion
Campaign 1,1308,400,20744,30.58103975535168,15.859327217125383,51.86
Campaign 10,743,229,11617,30.82099596231494,15.635262449528938,50.7292576419214
Campaign 11,1152,73,93099,6.336805555555555,80.81510416666667,1275.3287671232877
Campaign 12,583,334,62451,57.289879931389365,107.12006861063465,186.97904191616766
Campaign 13,495,94,65439,18.98989898989899,132.2,696.1595744680851
Campaign 14,1114,256,35554,22.980251346499102,31.915619389587075,138.8828125
Campaign 15,737,338,62452,45.86160108548169,84.7381275440977,184.76923076923077
Campaign 16,1984,99,46339,4.989919354838709,23.356350806451612,468.07070707070704
Campaign 17,770,367,66054,47.66233766233766,85.78441558441558,179.98365122615803
Campaign 18,1959,441,49043,22.5114854517611,25.034711587544667,111.20861678004535
Campaign 19,1955,123,66672,6.291560102301791,34.10332480818414,542.0487804878048
Campaign 2,389,371,90003,95.37275064267352,231.37017994858613,242.5956873315364
Campaign 20,680,134,74056,19.705882352941178,108.90588235294118,552.6567164179105
Campaign 21,777,451,17108,58.04375804375804,22.01801801801802,37.933481152993345
Campaign 22,808,464,32038,57.42574257425742,39.6509900990099,69.04741379310344
Campaign 23,1213,403,61964,33.22341302555647,51.08326463314097,153.75682382133996
Campaign 24,1309,225,61086,17.188693659281896,46.66615737203973,271.49333333333334
Campaign 25,835,136,36005,16.2874251497006,43.119760479041915,264.74264705882354
Campaign 26,1713,122,59219,7.122008172796264,34.57034442498541,485.4016393442623
Campaign 27,477,414,49196,86.79245283018868,103.13626834381552,118.83091787439614
Campaign 28,1269,72,37531,5.673758865248227,29.575256107171,521.2638888888889
Campaign 29,1336,161,69228,12.050898203592816,51.81736526946108,429.9875776397516
Campaign 3,1667,496,89299,29.754049190161968,53.56868626274745,180.0383064516129
Campaign 30,297,118,37778,39.73063973063973,127.1986531986532,320.1525423728813
Campaign 4,1356,404,20626,29.793510324483773,15.210914454277287,51.054455445544555
Campaign 5,697,293,17795,42.03730272596843,25.530846484935438,60.73378839590443
Campaign 6,1167,320,35123,27.420736932305058,30.096829477292204,109.759375
Campaign 7,1065,197,34308,18.497652582159624,32.21408450704225,174.1522842639594
Campaign 8,841,262,56025,31.153388822829964,66.61712247324614,213.83587786259542
Campaign 9,1527,104,53633,6.810740013097577,35.123117223313685,515.7019230769231
