Lead_ID,Lead_Date,Region,Team,Sales_Rep,Segment,Source,Stage,Deal_Value,Probability,Close_Date
1001,2025-02-18,East,Team D,Rep 6,Home Office,Email,Proposal,8278,0.5,
1002,2026-02-27,South,Team A,Rep 1,Home Office,LinkedIn,Closed Won,21146,1.0,2026-05-23
1003,2025-12-24,North,Team B,Rep 7,Home Office,Facebook,Qualified,1364,0.25,
1004,2025-08-28,South,Team B,Rep 1,Home Office,Facebook,Lead,11436,0.1,
1005,2025-08-25,East,Team D,Rep 1,Home Office,Email,Lead,20123,0.1,
1006,2026-04-14,North,Team A,Rep 1,Corporate,Referral,Negotiation,23847,0.75,
1007,2025-02-16,West,Team B,Rep 4,Corporate,Referral,Closed Won,6659,1.0,2025-04-24
1008,2026-01-16,South,Team A,Rep 5,Corporate,Referral,Lead,16444,0.1,
1009,2025-04-21,West,Team D,Rep 4,Corporate,Email,Lead,5147,0.1,
1010,2025-02-21,East,Team C,Rep 1,Home Office,Facebook,Proposal,3339,0.5,
1011,2025-10-15,South,Team B,Rep 2,Corporate,Referral,Lead,9149,0.1,
1012,2026-06-17,North,Team B,Rep 7,Corporate,Google,Closed Won,22184,1.0,2026-10-14
1013,2026-02-06,East,Team A,Rep 8,Consumer,Email,Qualified,17392,0.25,
1014,2026-02-20,South,Team D,Rep 7,Home Office,Email,Lead,12486,0.1,
1015,2026-01-27,North,Team C,Rep 1,Corporate,Facebook,Closed Won,7429,1.0,2026-05-01
1016,2026-03-06,West,Team B,Rep 7,Corporate,Referral,Lead,3970,0.1,
1017,2025-10-08,South,Team B,Rep 6,Corporate,Email,Qualified,7133,0.25,
1018,2025-03-11,North,Team C,Rep 5,Consumer,Referral,Lead,4240,0.1,
1019,2026-04-04,South,Team C,Rep 2,Corporate,LinkedIn,Lead,5083,0.1,
1020,2025-09-03,South,Team B,Rep 8,Home Office,Referral,Lead,17344,0.1,
1021,2025-10-01,West,Team B,Rep 4,Corporate,Referral,Lead,3751,0.1,
1022,2025-07-22,East,Team C,Rep 1,Consumer,Facebook,Lead,1660,0.1,
1023,2025-04-10,North,Team C,Rep 2,Corporate,Referral,Lead,13787,0.1,
1024,2026-05-22,North,Team C,Rep 4,Consumer,Email,Proposal,7521,0.5,
1025,2026-03-03,East,Team A,Rep 1,Corporate,Facebook,Negotiation,11640,0.75,
1026,2025-12-18,North,Team B,Rep 3,Corporate,Facebook,Qualified,3924,0.25,
1027,2025-08-08,South,Team C,Rep 4,Consumer,Email,Qualified,5644,0.25,
1028,2026-03-26,North,Team D,Rep 8,Home Office,Email,Proposal,11306,0.5,
1029,2025-10-25,North,Team C,Rep 1,Consumer,Email,Closed Won,17405,1.0,2025-11-02
1030,2025-08-31,West,Team B,Rep 5,Home Office,Email,Closed Won,10651,1.0,2025-10-19
1031,2025-09-03,North,Team C,Rep 8,Home Office,Facebook,Lead,13772,0.1,
1032,2025-05-05,North,Team A,Rep 7,Consumer,Email,Lead,13285,0.1,
1033,2025-02-20,West,Team A,Rep 8,Corporate,Email,Lead,7087,0.1,
1034,2025-10-30,North,Team C,Rep 2,Consumer,Referral,Lead,7351,0.1,
1035,2026-04-30,West,Team D,Rep 7,Consumer,Email,Proposal,10930,0.5,
1036,2025-02-04,North,Team D,Rep 8,Home Office,Email,Qualified,1285,0.25,
1037,2026-04-14,North,Team C,Rep 3,Home Office,Email,Lead,17292,0.1,
1038,2026-03-28,North,Team A,Rep 4,Consumer,Email,Qualified,15552,0.25,
1039,2025-06-01,East,Team D,Rep 5,Consumer,Google,Proposal,8000,0.5,
1040,2025-12-11,East,Team B,Rep 4,Consumer,Referral,Lead,9656,0.1,
1041,2025-04-01,South,Team B,Rep 3,Corporate,LinkedIn,Closed Won,8553,1.0,2025-05-10
1042,2026-02-18,North,Team D,Rep 8,Consumer,Google,Lead,16457,0.1,
1043,2026-01-18,North,Team C,Rep 8,Consumer,Email,Closed Won,19113,1.0,2026-04-01
1044,2025-07-13,East,Team C,Rep 4,Corporate,LinkedIn,Lead,3162,0.1,
1045,2025-02-07,North,Team B,Rep 7,Consumer,Email,Closed Won,10626,1.0,2025-03-16
1046,2026-06-15,East,Team D,Rep 4,Home Office,LinkedIn,Closed Won,837,1.0,2026-10-09
1047,2025-09-01,East,Team B,Rep 7,Home Office,Google,Closed Lost,11580,0.0,2025-10-11
1048,2026-05-03,West,Team C,Rep 5,Home Office,Referral,Closed Won,6583,1.0,2026-07-07
1049,2026-01-06,South,Team D,Rep 4,Consumer,Facebook,Negotiation,8727,0.75,
1050,2026-03-01,North,Team C,Rep 2,Home Office,LinkedIn,Proposal,11685,0.5,
