Campaign_ID,Campaign_Name,Channel,Spend,Leads,Conversions,Conversion_Rate,Cost_Per_Lead,Cost_Per_Conversion
M001,Campaign 1,LinkedIn,20744,1308,400,30.58103975535168,15.859327217125383,51.86
M002,Campaign 2,LinkedIn,90003,389,371,95.37275064267352,231.37017994858613,242.5956873315364
M003,Campaign 3,Facebook,89299,1667,496,29.754049190161968,53.56868626274745,180.0383064516129
M004,Campaign 4,LinkedIn,20626,1356,404,29.793510324483773,15.210914454277287,51.054455445544555
M005,Campaign 5,LinkedIn,17795,697,293,42.03730272596843,25.530846484935438,60.73378839590443
M006,Campaign 6,Email,35123,1167,320,27.420736932305058,30.096829477292204,109.759375
M007,Campaign 7,Facebook,34308,1065,197,18.497652582159624,32.21408450704225,174.1522842639594
M008,Campaign 8,Google,56025,841,262,31.153388822829964,66.61712247324614,213.83587786259542
M009,Campaign 9,Google,53633,1527,104,6.810740013097577,35.123117223313685,515.7019230769231
M010,Campaign 10,Facebook,11617,743,229,30.82099596231494,15.635262449528938,50.7292576419214
M011,Campaign 11,LinkedIn,93099,1152,73,6.336805555555555,80.81510416666667,1275.3287671232877
M012,Campaign 12,Email,62451,583,334,57.289879931389365,107.12006861063465,186.97904191616766
M013,Campaign 13,LinkedIn,65439,495,94,18.98989898989899,132.2,696.1595744680851
M014,Campaign 14,Google,35554,1114,256,22.980251346499102,31.915619389587075,138.8828125
M015,Campaign 15,Email,62452,737,338,45.86160108548169,84.7381275440977,184.76923076923077
M016,Campaign 16,Email,46339,1984,99,4.989919354838709,23.356350806451612,468.07070707070704
M017,Campaign 17,LinkedIn,66054,770,367,47.66233766233766,85.78441558441558,179.98365122615803
M018,Campaign 18,LinkedIn,49043,1959,441,22.5114854517611,25.034711587544667,111.20861678004535
M019,Campaign 19,Email,66672,1955,123,6.291560102301791,34.10332480818414,542.0487804878048
M020,Campaign 20,Email,74056,680,134,19.705882352941178,108.90588235294118,552.6567164179105
M021,Campaign 21,LinkedIn,17108,777,451,58.04375804375804,22.01801801801802,37.933481152993345
M022,Campaign 22,Google,32038,808,464,57.42574257425742,39.6509900990099,69.04741379310344
M023,Campaign 23,Email,61964,1213,403,33.22341302555647,51.08326463314097,153.75682382133996
M024,Campaign 24,Facebook,61086,1309,225,17.188693659281896,46.66615737203973,271.49333333333334
M025,Campaign 25,Email,36005,835,136,16.2874251497006,43.119760479041915,264.74264705882354
M026,Campaign 26,Google,59219,1713,122,7.122008172796264,34.57034442498541,485.4016393442623
M027,Campaign 27,LinkedIn,49196,477,414,86.79245283018868,103.13626834381552,118.83091787439614
M028,Campaign 28,Email,37531,1269,72,5.673758865248227,29.575256107171,521.2638888888889
M029,Campaign 29,LinkedIn,69228,1336,161,12.050898203592816,51.81736526946108,429.9875776397516
M030,Campaign 30,Google,37778,297,118,39.73063973063973,127.1986531986532,320.1525423728813
