Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount,Sales,Profit,Profit_Margin,Discount_Amount,Net_Sales
O0001,C041,P042,2025-07-05,2,0.15,5377.1,1745.1,32.45429692585222,806.565,4570.535
O0002,C185,P036,2025-10-30,3,0.15,10072.5,865.5,8.592702903946389,1510.875,8561.625
O0003,C046,P029,2026-02-05,1,0.05,532.95,138.95,26.071864152359502,26.647500000000004,506.30250000000007
O0004,C136,P041,2026-03-19,3,0.1,13254.3,4563.3,34.42882687127951,1325.43,11928.869999999999
O0005,C159,P048,2026-06-01,1,0.05,3277.5,1307.5,39.89321128909229,163.875,3113.625
O0006,C016,P024,2025-05-07,4,0.1,4492.8,1840.8,40.97222222222222,449.28000000000003,4043.52
O0007,C023,P038,2025-03-14,4,0.15,10149.0,2393.0,23.57867770223667,1522.35,8626.65
O0008,C128,P009,2026-02-23,2,0.1,3083.4,1069.4,34.682493351495104,308.34000000000003,2775.06
O0009,C091,P049,2025-07-17,3,0.0,4455.0,1530.0,34.34343434343434,0.0,4455.0
O0010,C010,P031,2026-04-03,3,0.05,13680.0,2307.0,16.864035087719298,684.0,12996.0
O0011,C131,P022,2025-10-11,3,0.0,11487.0,2835.0,24.680073126142595,0.0,11487.0
O0012,C126,P035,2026-05-14,2,0.05,5578.4,2298.4,41.201778287681066,278.92,5299.48
O0013,C194,P001,2026-04-22,4,0.0,17400.0,6988.0,40.160919540229884,0.0,17400.0
O0014,C161,P042,2025-09-18,4,0.05,12019.4,4755.4,39.56437093365725,600.97,11418.43
O0015,C035,P032,2025-08-23,5,0.1,10053.0,4468.0,44.44444444444444,1005.3000000000001,9047.7
O0016,C051,P015,2025-06-12,3,0.1,5904.9,2436.9,41.26911548036377,590.49,5314.41
O0017,C027,P032,2025-09-22,3,0.05,6366.9,3015.9,47.36842105263158,318.345,6048.554999999999
O0018,C105,P045,2025-09-13,3,0.05,13611.6,6396.6,46.993740632989514,680.58,12931.02
O0019,C034,P004,2026-02-23,3,0.15,12428.7,1259.7,10.135412392285597,1864.305,10564.395
O0020,C073,P022,2025-04-04,4,0.05,14550.2,3014.2,20.715866448571152,727.5100000000001,13822.69
O0021,C183,P002,2025-01-26,2,0.0,9772.0,4420.0,45.2312730249693,0.0,9772.0
O0022,C019,P033,2026-03-14,3,0.1,10192.5,3019.5,29.624724061810152,1019.25,9173.25
O0023,C073,P042,2026-06-12,3,0.0,9489.0,4041.0,42.58615238697439,0.0,9489.0
O0024,C047,P024,2025-05-14,5,0.05,5928.0,2613.0,44.07894736842105,296.40000000000003,5631.6
O0025,C144,P007,2025-12-07,2,0.1,8627.4,2999.4,34.76597816259824,862.74,7764.66
O0026,C181,P011,2025-11-07,2,0.1,2649.6,373.6,14.100241545893722,264.96,2384.64
O0027,C086,P013,2025-01-31,2,0.15,2067.2,617.2,29.856811145510843,310.08,1757.12
O0028,C128,P011,2025-10-28,1,0.0,1472.0,334.0,22.690217391304348,0.0,1472.0
O0029,C143,P029,2026-02-12,5,0.05,2664.75,694.75,26.07186415235951,133.2375,2531.5125
O0030,C089,P037,2025-12-27,1,0.15,1018.3,391.3,38.426789747618585,152.74499999999998,865.555
O0031,C052,P007,2026-03-16,2,0.05,9106.7,3478.7,38.199347732987796,455.33500000000004,8651.365000000002
O0032,C120,P021,2025-07-05,3,0.05,7925.85,3026.85,38.18959480686614,396.2925,7529.557500000001
O0033,C061,P045,2025-11-16,3,0.1,12895.2,5680.2,44.04894844593337,1289.5200000000002,11605.68
O0034,C041,P045,2025-06-02,3,0.15,12178.8,4963.8,40.757710119223574,1826.82,10351.98
O0035,C053,P037,2025-07-18,1,0.15,1018.3,391.3,38.426789747618585,152.74499999999998,865.555
O0036,C086,P037,2026-01-14,4,0.0,4792.0,2284.0,47.66277128547579,0.0,4792.0
O0037,C018,P030,2025-01-18,1,0.15,1282.65,488.65,38.09690874361672,192.3975,1090.2525
O0038,C077,P030,2025-11-03,2,0.1,2716.2,1128.2,41.53596936897136,271.62,2444.58
O0039,C141,P045,2025-05-26,2,0.0,9552.0,4742.0,49.64405360134003,0.0,9552.0
O0040,C127,P031,2025-10-26,2,0.05,9120.0,1538.0,16.864035087719298,456.0,8664.0
O0041,C102,P017,2025-10-21,1,0.05,1805.95,512.95,28.403333425620865,90.29750000000001,1715.6525000000001
O0042,C151,P031,2026-02-19,3,0.05,13680.0,2307.0,16.864035087719298,684.0,12996.0
O0043,C044,P017,2026-01-16,3,0.15,4847.55,968.55,19.98019618157626,727.1325,4120.4175000000005
O0044,C152,P002,2025-11-28,4,0.15,16612.4,5908.4,35.56620355878741,2491.86,14120.54
O0045,C171,P018,2026-01-29,2,0.0,7340.0,3636.0,49.536784741144416,0.0,7340.0
O0046,C118,P003,2026-05-07,3,0.15,11278.65,1705.65,15.122820550331822,1691.7975,9586.852499999999
O0047,C074,P020,2025-10-31,2,0.0,7332.0,2730.0,37.234042553191486,0.0,7332.0
O0048,C123,P022,2025-01-04,2,0.0,7658.0,1890.0,24.680073126142595,0.0,7658.0
