Month,Region,Team,Sales_Target
2025-01-01,North,Team A,106807
2025-01-01,North,Team B,124023
2025-01-01,North,Team C,151063
2025-01-01,North,Team D,120529
2025-01-01,South,Team A,96467
2025-01-01,South,Team B,112725
2025-01-01,South,Team C,145056
2025-01-01,South,Team D,126519
2025-01-01,East,Team A,129213
2025-01-01,East,Team B,120180
2025-01-01,East,Team C,110494
2025-01-01,East,Team D,131871
2025-01-01,West,Team A,134316
2025-01-01,West,Team B,152868
2025-01-01,West,Team C,133244
2025-01-01,West,Team D,159650
2025-02-01,North,Team A,147860
2025-02-01,North,Team B,95512
2025-02-01,North,Team C,117452
2025-02-01,North,Team D,116927
2025-02-01,South,Team A,90211
2025-02-01,South,Team B,102649
2025-02-01,South,Team C,143353
2025-02-01,South,Team D,114648
2025-02-01,East,Team A,100351
2025-02-01,East,Team B,110123
2025-02-01,East,Team C,109229
2025-02-01,East,Team D,102217
2025-02-01,West,Team A,97083
2025-02-01,West,Team B,143485
2025-02-01,West,Team C,147716
2025-02-01,West,Team D,124740
2025-03-01,North,Team A,133082
2025-03-01,North,Team B,154347
2025-03-01,North,Team C,148986
2025-03-01,North,Team D,92281
2025-03-01,South,Team A,156706
2025-03-01,South,Team B,94688
2025-03-01,South,Team C,91860
2025-03-01,South,Team D,118229
2025-03-01,East,Team A,142209
2025-03-01,East,Team B,95619
2025-03-01,East,Team C,110509
2025-03-01,East,Team D,108391
2025-03-01,West,Team A,117816
2025-03-01,West,Team B,159022
2025-03-01,West,Team C,113199
2025-03-01,West,Team D,104627
2025-04-01,North,Team A,98562
2025-04-01,North,Team B,103868
2025-04-01,North,Team C,99319
2025-04-01,North,Team D,130154
2025-04-01,South,Team A,119435
2025-04-01,South,Team B,124859
2025-04-01,South,Team C,148250
2025-04-01,South,Team D,130630
2025-04-01,East,Team A,100861
2025-04-01,East,Team B,116371
2025-04-01,East,Team C,111880
2025-04-01,East,Team D,147873
2025-04-01,West,Team A,111491
2025-04-01,West,Team B,99700
2025-04-01,West,Team C,141520
2025-04-01,West,Team D,119987
2025-05-01,North,Team A,96710
2025-05-01,North,Team B,138283
2025-05-01,North,Team C,104735
2025-05-01,North,Team D,150776
2025-05-01,South,Team A,148272
2025-05-01,South,Team B,115870
2025-05-01,South,Team C,128891
2025-05-01,South,Team D,129742
2025-05-01,East,Team A,135739
2025-05-01,East,Team B,94839
2025-05-01,East,Team C,112739
2025-05-01,East,Team D,101922
2025-05-01,West,Team A,138824
2025-05-01,West,Team B,94839
2025-05-01,West,Team C,126187
2025-05-01,West,Team D,140951
2025-06-01,North,Team A,156386
2025-06-01,North,Team B,110164
2025-06-01,North,Team C,90558
2025-06-01,North,Team D,140662
2025-06-01,South,Team A,90108
2025-06-01,South,Team B,94647
2025-06-01,South,Team C,159334
2025-06-01,South,Team D,150378
2025-06-01,East,Team A,139527
2025-06-01,East,Team B,148487
2025-06-01,East,Team C,95274
2025-06-01,East,Team D,96225
2025-06-01,West,Team A,111058
2025-06-01,West,Team B,91662
2025-06-01,West,Team C,152181
2025-06-01,West,Team D,93940
2025-07-01,North,Team A,128082
2025-07-01,North,Team B,149754
2025-07-01,North,Team C,141449
2025-07-01,North,Team D,106429
2025-07-01,South,Team A,122923
2025-07-01,South,Team B,128379
2025-07-01,South,Team C,143754
2025-07-01,South,Team D,119837
2025-07-01,East,Team A,109952
2025-07-01,East,Team B,145686
2025-07-01,East,Team C,152053
2025-07-01,East,Team D,124222
2025-07-01,West,Team A,91961
2025-07-01,West,Team B,125046
2025-07-01,West,Team C,152250
2025-07-01,West,Team D,159236
2025-08-01,North,Team A,118072
2025-08-01,North,Team B,100509
2025-08-01,North,Team C,130051
2025-08-01,North,Team D,148149
2025-08-01,South,Team A,156150
2025-08-01,South,Team B,93622
2025-08-01,South,Team C,110338
2025-08-01,South,Team D,123435
2025-08-01,East,Team A,96877
2025-08-01,East,Team B,152043
2025-08-01,East,Team C,97851
2025-08-01,East,Team D,136564
2025-08-01,West,Team A,154304
2025-08-01,West,Team B,137965
2025-08-01,West,Team C,143424
2025-08-01,West,Team D,108432
2025-09-01,North,Team A,147922
2025-09-01,North,Team B,119300
2025-09-01,North,Team C,94292
2025-09-01,North,Team D,115660
2025-09-01,South,Team A,114488
2025-09-01,South,Team B,126501
2025-09-01,South,Team C,108537
2025-09-01,South,Team D,122355
2025-09-01,East,Team A,119957
2025-09-01,East,Team B,112882
2025-09-01,East,Team C,138736
2025-09-01,East,Team D,111383
2025-09-01,West,Team A,143604
2025-09-01,West,Team B,107559
2025-09-01,West,Team C,150541
2025-09-01,West,Team D,115553
2025-10-01,North,Team A,92848
2025-10-01,North,Team B,100495
2025-10-01,North,Team C,146438
2025-10-01,North,Team D,151047
2025-10-01,South,Team A,104838
2025-10-01,South,Team B,132148
2025-10-01,South,Team C,130204
2025-10-01,South,Team D,99365
2025-10-01,East,Team A,121639
2025-10-01,East,Team B,138570
2025-10-01,East,Team C,157698
2025-10-01,East,Team D,149336
2025-10-01,West,Team A,96848
2025-10-01,West,Team B,106627
2025-10-01,West,Team C,120569
2025-10-01,West,Team D,100542
2025-11-01,North,Team A,129948
2025-11-01,North,Team B,90603
