Campaign_Name,Total_Leads,Total_Conversions,Total_Spend,Conversion_Rate_%,Cost_Per_Lead,Cost_Per_Conversion
Campaign 21,777,451,17108,58.04375804375804,22.01801801801802,37.933481152993345
Campaign 10,743,229,11617,30.82099596231494,15.635262449528938,50.7292576419214
Campaign 4,1356,404,20626,29.793510324483773,15.210914454277287,51.054455445544555
Campaign 1,1308,400,20744,30.58103975535168,15.859327217125383,51.86
Campaign 5,697,293,17795,42.03730272596843,25.530846484935438,60.73378839590443
Campaign 22,808,464,32038,57.42574257425742,39.6509900990099,69.04741379310344
Campaign 6,1167,320,35123,27.420736932305058,30.096829477292204,109.759375
Campaign 18,1959,441,49043,22.5114854517611,25.034711587544667,111.20861678004535
Campaign 27,477,414,49196,86.79245283018868,103.13626834381552,118.83091787439614
Campaign 14,1114,256,35554,22.980251346499102,31.915619389587075,138.8828125
