Product_ID,Total_Sales,Total_Profit,Total_Quantity,Total_Orders,Profit_Margin_%,Product_Name,Category,SubCategory,Price,Cost
P002,370603.1,148495.1,83,26,40.068499157184604,Product 2,Furniture,Sub5,4886,2676
P007,329758.4,121522.4,74,28,36.8519497911198,Product 7,Office Supplies,Sub3,4793,2814
P041,312457.85,115461.85,68,22,36.952776190452575,Product 41,Furniture,Sub5,4909,2897
P045,303992.39999999997,138047.4,69,24,45.41146423397427,Product 45,Electronics,Sub4,4776,2405
P046,295176.3,124902.3,74,23,42.31447443443122,Product 46,Electronics,Sub4,4306,2301
P010,290832.4,79372.4,97,30,27.29145721040709,Product 10,Office Supplies,Sub5,3203,2180
P028,277767.75,94987.75,65,20,34.196824505364646,Product 28,Electronics,Sub2,4595,2812
P005,257998.65,73368.65,74,25,28.43761004175797,Product 5,Office Supplies,Sub2,3731,2495
P048,254092.5,100432.5,78,25,39.525960034239496,Product 48,Furniture,Sub4,3450,1970
P022,246587.6,47591.6,69,24,19.300078349438497,Product 22,Office Supplies,Sub3,3829,2884
P003,240611.2,52342.2,59,18,21.753850194837145,Product 3,Office Supplies,Sub2,4423,3191
P031,229440.0,39890.0,50,18,17.38580892608089,Product 31,Electronics,Sub3,4800,3791
P001,228592.5,82824.5,56,17,36.232378577599874,Product 1,Furniture,Sub3,4350,2603
P012,213505.2,54755.2,50,17,25.645839070898507,Product 12,Furniture,Sub3,4476,3175
P035,209190.0,84550.0,76,25,40.417801998183464,Product 35,Electronics,Sub3,2936,1640
P036,209152.5,31150.5,58,19,14.89367805787643,Product 36,Furniture,Sub2,3950,3069
P008,204502.2,66406.2,48,17,32.472120104331395,Product 8,Furniture,Sub5,4669,2877
P042,203697.2,78393.2,69,24,38.485163271758275,Product 42,Office Supplies,Sub2,3163,1816
P023,190503.5,32023.5,56,20,16.80992737666237,Product 23,Office Supplies,Sub2,3646,2830
P018,189555.5,89547.5,54,16,47.240781723558534,Product 18,Furniture,Sub3,3670,1852
P044,176545.0,63425.0,56,20,35.92568466963097,Product 44,Office Supplies,Sub1,3350,2020
P016,162534.6,35776.6,61,17,22.011682435616784,Product 16,Electronics,Sub3,2844,2078
P038,159996.0,47534.0,58,17,29.70949273731843,Product 38,Furniture,Sub3,2985,1939
P039,154412.8,62699.8,57,19,40.6053125129523,Product 39,Electronics,Sub3,2944,1609
P032,145321.7,66014.7,71,23,45.42659492697924,Product 32,Electronics,Sub3,2234,1117
P020,145173.6,43929.6,44,16,30.260047281323878,Product 20,Electronics,Sub3,3666,2301
P033,142695.0,47055.0,40,13,32.975927677914434,Product 33,Furniture,Sub3,3775,2391
P015,141170.85,60250.85,70,22,42.679384589665645,Product 15,Electronics,Sub3,2187,1156
P043,138232.1,36207.1,55,17,26.19297543768777,Product 43,Office Supplies,Sub2,2666,1855
P021,115967.7,42482.7,45,16,36.63321769768651,Product 21,Furniture,Sub1,2781,1633
P009,115798.8,41280.8,74,24,35.64872865694636,Product 9,Electronics,Sub4,1713,1007
P030,113703.15,47801.15,83,27,42.04030407249052,Product 30,Furniture,Sub1,1509,794
P004,111127.2,18052.2,25,10,16.24462777789776,Product 4,Furniture,Sub4,4874,3723
P017,109877.8,28418.8,63,22,25.86400528587212,Product 17,Electronics,Sub1,1901,1293
P040,108005.40000000001,27365.399999999998,56,18,25.33706648000933,Product 40,Office Supplies,Sub4,2124,1440
P049,81006.75,23481.75,59,17,28.987399198214963,Product 49,Electronics,Sub3,1485,975
P050,80509.8,28797.8,64,22,35.769310071568924,Product 50,Furniture,Sub1,1322,808
P037,79367.5,34850.5,71,23,43.910290736132545,Product 37,Electronics,Sub1,1198,627
P034,74572.75,30052.75,53,19,40.29990847863328,Product 34,Office Supplies,Sub5,1505,840
P019,73710.0,15445.0,43,18,20.953737620404286,Product 19,Electronics,Sub4,1820,1355
P047,70363.8,23739.8,47,14,33.73865538813992,Product 47,Electronics,Sub2,1612,992
P013,67974.4,23024.4,62,23,33.87216363807551,Product 13,Furniture,Sub5,1216,725
P024,67953.6,28173.6,60,18,41.46005509641873,Product 24,Furniture,Sub5,1248,663
P027,64614.15,24885.149999999998,57,17,38.51346802519262,Product 27,Furniture,Sub4,1251,697
P025,55805.1,20978.1,57,20,37.59172548745545,Product 25,Electronics,Sub4,1066,611
P011,49606.4,8638.4,36,16,17.413882079731646,Product 11,Furniture,Sub3,1472,1138
P029,40392.0,10448.0,76,25,25.866508219449397,Product 29,Office Supplies,Sub3,561,394
P026,34116.45,3756.45,44,16,11.010670805432571,Product 26,Electronics,Sub1,867,690
P014,26791.7,8383.7,52,18,31.292153913338833,Product 14,Furniture,Sub5,557,354
P006,26215.899999999998,6297.900000000001,46,15,24.023207290232268,Product 6,Electronics,Sub5,634,433
