Product_ID,Total_Sales,Total_Profit,Total_Quantity,Total_Orders,Profit_Margin_%,Product_Name,Category,SubCategory,Price,Cost
P002,370603.1,148495.1,83,26,40.068499157184604,Product 2,Furniture,Sub5,4886,2676
P045,303992.39999999997,138047.4,69,24,45.41146423397427,Product 45,Electronics,Sub4,4776,2405
P046,295176.3,124902.3,74,23,42.31447443443122,Product 46,Electronics,Sub4,4306,2301
P007,329758.4,121522.4,74,28,36.8519497911198,Product 7,Office Supplies,Sub3,4793,2814
P041,312457.85,115461.85,68,22,36.952776190452575,Product 41,Furniture,Sub5,4909,2897
P048,254092.5,100432.5,78,25,39.525960034239496,Product 48,Furniture,Sub4,3450,1970
P028,277767.75,94987.75,65,20,34.196824505364646,Product 28,Electronics,Sub2,4595,2812
P018,189555.5,89547.5,54,16,47.240781723558534,Product 18,Furniture,Sub3,3670,1852
P035,209190.0,84550.0,76,25,40.417801998183464,Product 35,Electronics,Sub3,2936,1640
P001,228592.5,82824.5,56,17,36.232378577599874,Product 1,Furniture,Sub3,4350,2603
