Product_ID,Total_Sales,Total_Profit,Total_Quantity,Total_Orders,Profit_Margin_%,Product_Name,Category,SubCategory,Price,Cost
P010,290832.4,79372.4,97,30,27.29145721040709,Product 10,Office Supplies,Sub5,3203,2180
P002,370603.1,148495.1,83,26,40.068499157184604,Product 2,Furniture,Sub5,4886,2676
P030,113703.15,47801.15,83,27,42.04030407249052,Product 30,Furniture,Sub1,1509,794
P048,254092.5,100432.5,78,25,39.525960034239496,Product 48,Furniture,Sub4,3450,1970
P029,40392.0,10448.0,76,25,25.866508219449397,Product 29,Office Supplies,Sub3,561,394
P035,209190.0,84550.0,76,25,40.417801998183464,Product 35,Electronics,Sub3,2936,1640
P046,295176.3,124902.3,74,23,42.31447443443122,Product 46,Electronics,Sub4,4306,2301
P009,115798.8,41280.8,74,24,35.64872865694636,Product 9,Electronics,Sub4,1713,1007
P007,329758.4,121522.4,74,28,36.8519497911198,Product 7,Office Supplies,Sub3,4793,2814
P005,257998.65,73368.65,74,25,28.43761004175797,Product 5,Office Supplies,Sub2,3731,2495
