Campaign_Name,Total_Leads,Total_Conversions,Total_Spend,Conversion_Rate_%,Cost_Per_Lead,Cost_Per_Conversion
Campaign 3,1667,496,89299,29.754049190161968,53.56868626274745,180.0383064516129
Campaign 22,808,464,32038,57.42574257425742,39.6509900990099,69.04741379310344
Campaign 21,777,451,17108,58.04375804375804,22.01801801801802,37.933481152993345
Campaign 18,1959,441,49043,22.5114854517611,25.034711587544667,111.20861678004535
Campaign 27,477,414,49196,86.79245283018868,103.13626834381552,118.83091787439614
Campaign 4,1356,404,20626,29.793510324483773,15.210914454277287,51.054455445544555
Campaign 23,1213,403,61964,33.22341302555647,51.08326463314097,153.75682382133996
Campaign 1,1308,400,20744,30.58103975535168,15.859327217125383,51.86
Campaign 2,389,371,90003,95.37275064267352,231.37017994858613,242.5956873315364
Campaign 17,770,367,66054,47.66233766233766,85.78441558441558,179.98365122615803
