Campaign_ID,Campaign_Name,Channel,Spend,Leads,Conversions
M001,Campaign 1,LinkedIn,20744,1308,400
M002,Campaign 2,LinkedIn,90003,389,371
M003,Campaign 3,Facebook,89299,1667,496
M004,Campaign 4,LinkedIn,20626,1356,404
M005,Campaign 5,LinkedIn,17795,697,293
M006,Campaign 6,Email,35123,1167,320
M007,Campaign 7,Facebook,34308,1065,197
M008,Campaign 8,Google,56025,841,262
M009,Campaign 9,Google,53633,1527,104
M010,Campaign 10,Facebook,11617,743,229
M011,Campaign 11,LinkedIn,93099,1152,73
M012,Campaign 12,Email,62451,583,334
M013,Campaign 13,LinkedIn,65439,495,94
M014,Campaign 14,Google,35554,1114,256
M015,Campaign 15,Email,62452,737,338
M016,Campaign 16,Email,46339,1984,99
M017,Campaign 17,LinkedIn,66054,770,367
M018,Campaign 18,LinkedIn,49043,1959,441
M019,Campaign 19,Email,66672,1955,123
M020,Campaign 20,Email,74056,680,134
M021,Campaign 21,LinkedIn,17108,777,451
M022,Campaign 22,Google,32038,808,464
M023,Campaign 23,Email,61964,1213,403
M024,Campaign 24,Facebook,61086,1309,225
M025,Campaign 25,Email,36005,835,136
M026,Campaign 26,Google,59219,1713,122
M027,Campaign 27,LinkedIn,49196,477,414
M028,Campaign 28,Email,37531,1269,72
M029,Campaign 29,LinkedIn,69228,1336,161
M030,Campaign 30,Google,37778,297,118
