Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Discount,Sales,Profit
O0001,C041,P042,2025-07-05,2,0.15,5377.1,1745.1
O0002,C185,P036,2025-10-30,3,0.15,10072.5,865.5
O0003,C046,P029,2026-02-05,1,0.05,532.95,138.95
O0004,C136,P041,2026-03-19,3,0.1,13254.3,4563.3
O0005,C159,P048,2026-06-01,1,0.05,3277.5,1307.5
O0006,C016,P024,2025-05-07,4,0.1,4492.8,1840.8
O0007,C023,P038,2025-03-14,4,0.15,10149.0,2393.0
O0008,C128,P009,2026-02-23,2,0.1,3083.4,1069.4
O0009,C091,P049,2025-07-17,3,0,4455,1530
O0010,C010,P031,2026-04-03,3,0.05,13680.0,2307.0
O0011,C131,P022,2025-10-11,3,0,11487,2835
O0012,C126,P035,2026-05-14,2,0.05,5578.4,2298.4
O0013,C194,P001,2026-04-22,4,0,17400,6988
O0014,C161,P042,2025-09-18,4,0.05,12019.4,4755.4
O0015,C035,P032,2025-08-23,5,0.1,10053.0,4468.0
O0016,C051,P015,2025-06-12,3,0.1,5904.9,2436.9
O0017,C027,P032,2025-09-22,3,0.05,6366.9,3015.9
O0018,C105,P045,2025-09-13,3,0.05,13611.6,6396.6
O0019,C034,P004,2026-02-23,3,0.15,12428.7,1259.7
O0020,C073,P022,2025-04-04,4,0.05,14550.2,3014.2
O0021,C183,P002,2025-01-26,2,0,9772,4420
O0022,C019,P033,2026-03-14,3,0.1,10192.5,3019.5
O0023,C073,P042,2026-06-12,3,0,9489,4041
O0024,C047,P024,2025-05-14,5,0.05,5928.0,2613.0
O0025,C144,P007,2025-12-07,2,0.1,8627.4,2999.4
O0026,C181,P011,2025-11-07,2,0.1,2649.6,373.6
O0027,C086,P013,2025-01-31,2,0.15,2067.2,617.2
O0028,C128,P011,2025-10-28,1,0,1472,334
O0029,C143,P029,2026-02-12,5,0.05,2664.75,694.75
O0030,C089,P037,2025-12-27,1,0.15,1018.3,391.3
O0031,C052,P007,2026-03-16,2,0.05,9106.7,3478.7
O0032,C120,P021,2025-07-05,3,0.05,7925.85,3026.85
O0033,C061,P045,2025-11-16,3,0.1,12895.2,5680.2
O0034,C041,P045,2025-06-02,3,0.15,12178.8,4963.8
O0035,C053,P037,2025-07-18,1,0.15,1018.3,391.3
O0036,C086,P037,2026-01-14,4,0,4792,2284
O0037,C018,P030,2025-01-18,1,0.15,1282.65,488.65
O0038,C077,P030,2025-11-03,2,0.1,2716.2,1128.2
O0039,C141,P045,2025-05-26,2,0,9552,4742
O0040,C127,P031,2025-10-26,2,0.05,9120.0,1538.0
O0041,C102,P017,2025-10-21,1,0.05,1805.95,512.95
O0042,C151,P031,2026-02-19,3,0.05,13680.0,2307.0
O0043,C044,P017,2026-01-16,3,0.15,4847.55,968.55
O0044,C152,P002,2025-11-28,4,0.15,16612.4,5908.4
O0045,C171,P018,2026-01-29,2,0,7340,3636
O0046,C118,P003,2026-05-07,3,0.15,11278.65,1705.65
O0047,C074,P020,2025-10-31,2,0,7332,2730
O0048,C123,P022,2025-01-04,2,0,7658,1890
O0049,C131,P031,2025-03-07,1,0.05,4560.0,769.0
O0050,C131,P036,2025-03-26,2,0,7900,1762
O0051,C095,P040,2025-07-24,1,0.05,2017.8,577.8
O0052,C012,P037,2026-05-11,1,0,1198,571
O0053,C072,P028,2026-03-31,4,0.05,17461.0,6213.0
O0054,C005,P002,2025-01-01,4,0.1,17589.6,6885.6
O0055,C120,P025,2026-01-13,3,0.1,2878.2,1045.2
O0056,C118,P007,2026-06-16,1,0.1,4313.7,1499.7
O0057,C026,P010,2025-08-21,4,0.05,12171.4,3451.4
O0058,C052,P034,2025-06-17,3,0,4515,1995
