Payment_ID,Order_ID,Payment_Mode,Payment_Status,Amount
PAY0001,O0001,Card,Pending,5377.1
PAY0002,O0002,UPI,Paid,10072.5
PAY0003,O0003,Card,Paid,532.95
PAY0004,O0004,Card,Pending,13254.3
PAY0005,O0005,Card,Pending,3277.5
PAY0006,O0006,Card,Pending,4492.8
PAY0007,O0007,UPI,Pending,10149.0
PAY0008,O0008,Net Banking,Paid,3083.4
PAY0009,O0009,Cash,Paid,4455
PAY0010,O0010,Card,Pending,13680.0
PAY0011,O0011,UPI,Paid,11487
PAY0012,O0012,UPI,Pending,5578.4
PAY0013,O0013,Cash,Pending,17400
PAY0014,O0014,Cash,Pending,12019.4
PAY0015,O0015,Card,Pending,10053.0
PAY0016,O0016,UPI,Paid,5904.9
PAY0017,O0017,UPI,Pending,6366.9
PAY0018,O0018,Cash,Paid,13611.6
PAY0019,O0019,UPI,Paid,12428.7
PAY0020,O0020,Cash,Paid,14550.2
PAY0021,O0021,Cash,Pending,9772
PAY0022,O0022,Net Banking,Pending,10192.5
PAY0023,O0023,Card,Paid,9489
PAY0024,O0024,Cash,Paid,5928.0
PAY0025,O0025,Cash,Pending,8627.4
PAY0026,O0026,Cash,Pending,2649.6
PAY0027,O0027,Cash,Paid,2067.2
PAY0028,O0028,Net Banking,Paid,1472
PAY0029,O0029,Net Banking,Paid,2664.75
PAY0030,O0030,UPI,Pending,1018.3
PAY0031,O0031,UPI,Pending,9106.7
PAY0032,O0032,Net Banking,Paid,7925.85
PAY0033,O0033,Card,Pending,12895.2
PAY0034,O0034,UPI,Pending,12178.8
PAY0035,O0035,Card,Pending,1018.3
PAY0036,O0036,Cash,Paid,4792
PAY0037,O0037,Net Banking,Pending,1282.65
PAY0038,O0038,Cash,Paid,2716.2
PAY0039,O0039,UPI,Paid,9552
PAY0040,O0040,Cash,Pending,9120.0
PAY0041,O0041,UPI,Pending,1805.95
PAY0042,O0042,Net Banking,Paid,13680.0
PAY0043,O0043,Cash,Paid,4847.55
PAY0044,O0044,Net Banking,Paid,16612.4
PAY0045,O0045,Cash,Paid,7340
PAY0046,O0046,Cash,Paid,11278.65
PAY0047,O0047,Cash,Pending,7332
PAY0048,O0048,UPI,Paid,7658
PAY0049,O0049,UPI,Paid,4560.0
PAY0050,O0050,Net Banking,Paid,7900
PAY0051,O0051,Net Banking,Pending,2017.8
PAY0052,O0052,Card,Pending,1198
PAY0053,O0053,Net Banking,Paid,17461.0
PAY0054,O0054,Cash,Pending,17589.6
PAY0055,O0055,Cash,Paid,2878.2
PAY0056,O0056,Net Banking,Pending,4313.7
PAY0057,O0057,Card,Paid,12171.4
PAY0058,O0058,Net Banking,Pending,4515
PAY0059,O0059,UPI,Pending,20765.5
PAY0060,O0060,UPI,Paid,2789.2
PAY0061,O0061,UPI,Pending,17250
PAY0062,O0062,Card,Pending,4289.25
PAY0063,O0063,Cash,Paid,9609
PAY0064,O0064,Card,Pending,2155.6
PAY0065,O0065,Card,Paid,5168.0
PAY0066,O0066,Cash,Pending,1204.6
PAY0067,O0067,UPI,Paid,5132.7
PAY0068,O0068,Card,Paid,4515
PAY0069,O0069,Card,Pending,17904
PAY0070,O0070,Card,Paid,7598.1
PAY0071,O0071,Card,Paid,4386.6
PAY0072,O0072,Net Banking,Pending,13612.75
PAY0073,O0073,UPI,Paid,17461.0
PAY0074,O0074,Card,Pending,16750
PAY0075,O0075,UPI,Pending,3731
PAY0076,O0076,Cash,Pending,6413.25
PAY0077,O0077,UPI,Paid,10938
PAY0078,O0078,UPI,Pending,7550
PAY0079,O0079,Net Banking,Paid,17193.6
PAY0080,O0080,Card,Pending,12686.25
PAY0081,O0081,Cash,Pending,11376
PAY0082,O0082,Net Banking,Pending,4620.8
PAY0083,O0083,UPI,Pending,2409.2
PAY0084,O0084,Cash,Paid,4793
PAY0085,O0085,Net Banking,Pending,4798.8
PAY0086,O0086,Net Banking,Paid,7172.5
PAY0087,O0087,Card,Pending,5330
PAY0088,O0088,UPI,Paid,5187.0
PAY0089,O0089,Net Banking,Pending,13110.0
PAY0090,O0090,Cash,Pending,9609
PAY0091,O0091,Card,Paid,2722.55
PAY0092,O0092,Cash,Pending,19636
PAY0093,O0093,UPI,Paid,5373.0
PAY0094,O0094,Net Banking,Paid,6892.2
PAY0095,O0095,Net Banking,Paid,4350
PAY0096,O0096,UPI,Paid,2244
PAY0097,O0097,Cash,Paid,16497.0
PAY0098,O0098,UPI,Pending,18148.8
PAY0099,O0099,Cash,Pending,10011.6
PAY0100,O0100,UPI,Paid,1858.95
PAY0101,O0101,Net Banking,Pending,21750
PAY0102,O0102,UPI,Pending,4914.0
PAY0103,O0103,Net Banking,Pending,13306.65
PAY0104,O0104,Cash,Paid,10338.3
PAY0105,O0105,UPI,Paid,11124
PAY0106,O0106,Net Banking,Pending,4248
PAY0107,O0107,UPI,Pending,736.95
PAY0108,O0108,UPI,Pending,8700
PAY0109,O0109,Card,Pending,16789.5
PAY0110,O0110,UPI,Paid,8367.6
PAY0111,O0111,Card,Pending,2722.55
PAY0112,O0112,UPI,Pending,12512.0
PAY0113,O0113,Card,Paid,14345.0
PAY0114,O0114,UPI,Paid,1907.4
PAY0115,O0115,Cash,Paid,501.3
PAY0116,O0116,Card,Pending,14622
PAY0117,O0117,UPI,Paid,14727
PAY0118,O0118,Net Banking,Paid,5091.5
PAY0119,O0119,Card,Pending,15912.5
PAY0120,O0120,Cash,Paid,4080.0
PAY0121,O0121,UPI,Paid,8645.0
PAY0122,O0122,Cash,Paid,7545
PAY0123,O0123,Net Banking,Paid,1598.85
PAY0124,O0124,Cash,Paid,11257.5
PAY0125,O0125,Cash,Paid,8042.4
PAY0126,O0126,UPI,Paid,2396
PAY0127,O0127,Card,Paid,3369.6
PAY0128,O0128,UPI,Paid,13785
PAY0129,O0129,Card,Pending,4914.0
PAY0130,O0130,UPI,Pending,7998
PAY0131,O0131,UPI,Paid,9455.4
PAY0132,O0132,Cash,Pending,16787.5
PAY0133,O0133,Card,Pending,21261.0
PAY0134,O0134,Net Banking,Paid,9327.1
PAY0135,O0135,Card,Paid,17589.6
PAY0136,O0136,Cash,Pending,2511.8
PAY0137,O0137,Card,Paid,1185.6
PAY0138,O0138,Net Banking,Pending,4059.6
PAY0139,O0139,Cash,Pending,6239.0
PAY0140,O0140,Cash,Pending,7658
PAY0141,O0141,Cash,Pending,2187
PAY0142,O0142,UPI,Paid,8181.4
PAY0143,O0143,UPI,Pending,9600
PAY0144,O0144,Card,Pending,1094.4
PAY0145,O0145,Card,Paid,1858.95
PAY0146,O0146,Card,Paid,8489.2
PAY0147,O0147,Card,Paid,4050.8
PAY0148,O0148,Net Banking,Pending,3198
PAY0149,O0149,UPI,Paid,3421.8
PAY0150,O0150,Card,Pending,18300.5
PAY0151,O0151,Card,Paid,15856.75
PAY0152,O0152,Net Banking,Paid,4135.5
PAY0153,O0153,Card,Pending,2409.2
PAY0154,O0154,Cash,Paid,532.95
PAY0155,O0155,Net Banking,Paid,8119.2
PAY0156,O0156,Card,Pending,5472.0
PAY0157,O0157,UPI,Pending,906.1
PAY0158,O0158,UPI,Paid,8794.8
PAY0159,O0159,UPI,Pending,11940
PAY0160,O0160,Net Banking,Pending,3421.8
PAY0161,O0161,Cash,Paid,2121.6
PAY0162,O0162,Net Banking,Paid,4320.0
PAY0163,O0163,Cash,Paid,5168.0
PAY0164,O0164,Net Banking,Paid,14233.5
PAY0165,O0165,UPI,Paid,4669
PAY0166,O0166,Card,Paid,4882.05
PAY0167,O0167,Card,Pending,17931.25
PAY0168,O0168,Cash,Pending,2126.7
PAY0169,O0169,Cash,Paid,1336.5
PAY0170,O0170,Net Banking,Paid,9586
PAY0171,O0171,Cash,Paid,11940
PAY0172,O0172,UPI,Paid,16273.25
PAY0173,O0173,Card,Pending,3637.55
PAY0174,O0174,Card,Paid,23208.5
PAY0175,O0175,UPI,Pending,16407.0
PAY0176,O0176,Cash,Pending,2495.6
PAY0177,O0177,UPI,Paid,3640
PAY0178,O0178,Cash,Pending,15501.6
PAY0179,O0179,Net Banking,Paid,4365.25
PAY0180,O0180,Net Banking,Pending,5690.5
PAY0181,O0181,Net Banking,Pending,3054.9
PAY0182,O0182,UPI,Pending,3163
PAY0183,O0183,Card,Pending,4153.1
PAY0184,O0184,Cash,Pending,3203
PAY0185,O0185,UPI,Paid,9294.75
PAY0186,O0186,Cash,Paid,2432
PAY0187,O0187,Card,Pending,2642.4
PAY0188,O0188,Net Banking,Pending,5130.6
PAY0189,O0189,Card,Paid,4991.2
PAY0190,O0190,Card,Paid,3901.5
PAY0191,O0191,UPI,Paid,6610
PAY0192,O0192,UPI,Pending,14924
PAY0193,O0193,Card,Paid,3182.4
PAY0194,O0194,Cash,Paid,9609
PAY0195,O0195,Net Banking,Pending,4553.35
PAY0196,O0196,Card,Paid,5734.2
PAY0197,O0197,UPI,Paid,7275.1
PAY0198,O0198,Cash,Paid,1671
PAY0199,O0199,Cash,Paid,2701.8
PAY0200,O0200,Net Banking,Paid,24430
PAY0201,O0201,Net Banking,Pending,2210.85
PAY0202,O0202,UPI,Pending,24545
PAY0203,O0203,Card,Paid,11343.0
PAY0204,O0204,Cash,Paid,7595.6
PAY0205,O0205,Card,Paid,2565.3
PAY0206,O0206,Card,Paid,4909
PAY0207,O0207,Net Banking,Pending,6210.0
PAY0208,O0208,Net Banking,Paid,17742.2
PAY0209,O0209,Net Banking,Pending,10388.25
PAY0210,O0210,Cash,Pending,9348.3
PAY0211,O0211,Net Banking,Pending,2432
PAY0212,O0212,UPI,Pending,10890.2
PAY0213,O0213,Net Banking,Paid,6030.0
PAY0214,O0214,Cash,Pending,5132.7
PAY0215,O0215,Cash,Paid,10598.4
PAY0216,O0216,Card,Pending,1503.9
PAY0217,O0217,Cash,Paid,7223.8
PAY0218,O0218,Card,Paid,1710.9
PAY0219,O0219,Card,Pending,7110.0
PAY0220,O0220,UPI,Paid,3966
