Lead_ID,Lead_Date,Region,Team,Sales_Rep,Segment,Source,Stage,Deal_Value,Probability,Close_Date,Expected_Revenue
1001,2025-02-18,East,Team D,Rep 6,Home Office,Email,Proposal,8278,0.5,,4139.0
1002,2026-02-27,South,Team A,Rep 1,Home Office,LinkedIn,Closed Won,21146,1.0,2026-05-23,21146.0
1003,2025-12-24,North,Team B,Rep 7,Home Office,Facebook,Qualified,1364,0.25,,341.0
1004,2025-08-28,South,Team B,Rep 1,Home Office,Facebook,Lead,11436,0.1,,1143.6000000000001
1005,2025-08-25,East,Team D,Rep 1,Home Office,Email,Lead,20123,0.1,,2012.3000000000002
1006,2026-04-14,North,Team A,Rep 1,Corporate,Referral,Negotiation,23847,0.75,,17885.25
1007,2025-02-16,West,Team B,Rep 4,Corporate,Referral,Closed Won,6659,1.0,2025-04-24,6659.0
1008,2026-01-16,South,Team A,Rep 5,Corporate,Referral,Lead,16444,0.1,,1644.4
1009,2025-04-21,West,Team D,Rep 4,Corporate,Email,Lead,5147,0.1,,514.7
1010,2025-02-21,East,Team C,Rep 1,Home Office,Facebook,Proposal,3339,0.5,,1669.5
1011,2025-10-15,South,Team B,Rep 2,Corporate,Referral,Lead,9149,0.1,,914.9000000000001
1012,2026-06-17,North,Team B,Rep 7,Corporate,Google,Closed Won,22184,1.0,2026-10-14,22184.0
1013,2026-02-06,East,Team A,Rep 8,Consumer,Email,Qualified,17392,0.25,,4348.0
1014,2026-02-20,South,Team D,Rep 7,Home Office,Email,Lead,12486,0.1,,1248.6000000000001
1015,2026-01-27,North,Team C,Rep 1,Corporate,Facebook,Closed Won,7429,1.0,2026-05-01,7429.0
1016,2026-03-06,West,Team B,Rep 7,Corporate,Referral,Lead,3970,0.1,,397.0
1017,2025-10-08,South,Team B,Rep 6,Corporate,Email,Qualified,7133,0.25,,1783.25
1018,2025-03-11,North,Team C,Rep 5,Consumer,Referral,Lead,4240,0.1,,424.0
1019,2026-04-04,South,Team C,Rep 2,Corporate,LinkedIn,Lead,5083,0.1,,508.3
1020,2025-09-03,South,Team B,Rep 8,Home Office,Referral,Lead,17344,0.1,,1734.4
1021,2025-10-01,West,Team B,Rep 4,Corporate,Referral,Lead,3751,0.1,,375.1
1022,2025-07-22,East,Team C,Rep 1,Consumer,Facebook,Lead,1660,0.1,,166.0
1023,2025-04-10,North,Team C,Rep 2,Corporate,Referral,Lead,13787,0.1,,1378.7
1024,2026-05-22,North,Team C,Rep 4,Consumer,Email,Proposal,7521,0.5,,3760.5
1025,2026-03-03,East,Team A,Rep 1,Corporate,Facebook,Negotiation,11640,0.75,,8730.0
1026,2025-12-18,North,Team B,Rep 3,Corporate,Facebook,Qualified,3924,0.25,,981.0
1027,2025-08-08,South,Team C,Rep 4,Consumer,Email,Qualified,5644,0.25,,1411.0
1028,2026-03-26,North,Team D,Rep 8,Home Office,Email,Proposal,11306,0.5,,5653.0
1029,2025-10-25,North,Team C,Rep 1,Consumer,Email,Closed Won,17405,1.0,2025-11-02,17405.0
1030,2025-08-31,West,Team B,Rep 5,Home Office,Email,Closed Won,10651,1.0,2025-10-19,10651.0
1031,2025-09-03,North,Team C,Rep 8,Home Office,Facebook,Lead,13772,0.1,,1377.2
1032,2025-05-05,North,Team A,Rep 7,Consumer,Email,Lead,13285,0.1,,1328.5
1033,2025-02-20,West,Team A,Rep 8,Corporate,Email,Lead,7087,0.1,,708.7
1034,2025-10-30,North,Team C,Rep 2,Consumer,Referral,Lead,7351,0.1,,735.1
1035,2026-04-30,West,Team D,Rep 7,Consumer,Email,Proposal,10930,0.5,,5465.0
1036,2025-02-04,North,Team D,Rep 8,Home Office,Email,Qualified,1285,0.25,,321.25
1037,2026-04-14,North,Team C,Rep 3,Home Office,Email,Lead,17292,0.1,,1729.2
1038,2026-03-28,North,Team A,Rep 4,Consumer,Email,Qualified,15552,0.25,,3888.0
1039,2025-06-01,East,Team D,Rep 5,Consumer,Google,Proposal,8000,0.5,,4000.0
1040,2025-12-11,East,Team B,Rep 4,Consumer,Referral,Lead,9656,0.1,,965.6
1041,2025-04-01,South,Team B,Rep 3,Corporate,LinkedIn,Closed Won,8553,1.0,2025-05-10,8553.0
1042,2026-02-18,North,Team D,Rep 8,Consumer,Google,Lead,16457,0.1,,1645.7
1043,2026-01-18,North,Team C,Rep 8,Consumer,Email,Closed Won,19113,1.0,2026-04-01,19113.0
1044,2025-07-13,East,Team C,Rep 4,Corporate,LinkedIn,Lead,3162,0.1,,316.20000000000005
1045,2025-02-07,North,Team B,Rep 7,Consumer,Email,Closed Won,10626,1.0,2025-03-16,10626.0
1046,2026-06-15,East,Team D,Rep 4,Home Office,LinkedIn,Closed Won,837,1.0,2026-10-09,837.0
1047,2025-09-01,East,Team B,Rep 7,Home Office,Google,Closed Lost,11580,0.0,2025-10-11,0.0
1048,2026-05-03,West,Team C,Rep 5,Home Office,Referral,Closed Won,6583,1.0,2026-07-07,6583.0
1049,2026-01-06,South,Team D,Rep 4,Consumer,Facebook,Negotiation,8727,0.75,,6545.25
1050,2026-03-01,North,Team C,Rep 2,Home Office,LinkedIn,Proposal,11685,0.5,,5842.5
1051,2026-02-19,South,Team A,Rep 6,Home Office,Google,Negotiation,8431,0.75,,6323.25
1052,2025-04-17,West,Team B,Rep 3,Consumer,Google,Lead,10154,0.1,,1015.4000000000001
1053,2025-07-18,East,Team B,Rep 2,Home Office,Referral,Proposal,19236,0.5,,9618.0
1054,2025-09-12,East,Team D,Rep 2,Corporate,LinkedIn,Proposal,20352,0.5,,10176.0
1055,2025-09-29,South,Team C,Rep 8,Home Office,Google,Closed Won,643,1.0,2025-10-19,643.0
1056,2025-01-24,North,Team B,Rep 1,Corporate,Google,Qualified,9757,0.25,,2439.25
1057,2025-10-26,West,Team C,Rep 7,Home Office,LinkedIn,Qualified,21248,0.25,,5312.0
1058,2025-03-26,West,Team C,Rep 7,Consumer,Facebook,Proposal,13495,0.5,,6747.5
1059,2026-02-10,West,Team B,Rep 1,Corporate,Email,Lead,5529,0.1,,552.9
1060,2026-01-08,West,Team B,Rep 5,Consumer,Google,Lead,15041,0.1,,1504.1000000000001
1061,2026-05-19,South,Team D,Rep 5,Consumer,Email,Qualified,4050,0.25,,1012.5
1062,2026-02-11,South,Team C,Rep 3,Consumer,Email,Qualified,1034,0.25,,258.5
1063,2025-07-20,North,Team A,Rep 6,Corporate,Google,Lead,15994,0.1,,1599.4
1064,2026-06-13,West,Team C,Rep 4,Consumer,LinkedIn,Qualified,13120,0.25,,3280.0
1065,2025-08-13,East,Team C,Rep 4,Home Office,LinkedIn,Qualified,19034,0.25,,4758.5
1066,2025-06-27,South,Team C,Rep 4,Corporate,Facebook,Qualified,8948,0.25,,2237.0
1067,2026-05-10,West,Team C,Rep 7,Home Office,Google,Qualified,21429,0.25,,5357.25
1068,2025-07-22,East,Team D,Rep 6,Home Office,Email,Negotiation,10821,0.75,,8115.75
1069,2025-02-11,West,Team B,Rep 4,Consumer,LinkedIn,Qualified,18581,0.25,,4645.25
1070,2025-09-14,West,Team B,Rep 8,Consumer,Facebook,Closed Lost,2957,0.0,2026-01-01,0.0
1071,2026-03-11,North,Team A,Rep 7,Corporate,LinkedIn,Closed Won,2880,1.0,2026-06-29,2880.0
1072,2025-04-14,South,Team C,Rep 8,Corporate,Referral,Qualified,19679,0.25,,4919.75
1073,2025-09-10,East,Team B,Rep 6,Consumer,LinkedIn,Qualified,20932,0.25,,5233.0
1074,2025-03-12,West,Team B,Rep 4,Home Office,Facebook,Proposal,23588,0.5,,11794.0
1075,2026-01-10,North,Team C,Rep 7,Corporate,Referral,Closed Won,8453,1.0,2026-04-16,8453.0
1076,2025-09-17,South,Team B,Rep 3,Home Office,LinkedIn,Proposal,1045,0.5,,522.5
1077,2025-06-30,East,Team B,Rep 3,Consumer,LinkedIn,Closed Won,24507,1.0,2025-08-15,24507.0
1078,2025-05-04,West,Team B,Rep 4,Home Office,Referral,Proposal,15233,0.5,,7616.5
1079,2025-11-05,North,Team B,Rep 8,Consumer,Referral,Proposal,6554,0.5,,3277.0
1080,2026-01-01,East,Team A,Rep 5,Corporate,Email,Qualified,19214,0.25,,4803.5
1081,2026-05-29,South,Team D,Rep 4,Corporate,Referral,Negotiation,22645,0.75,,16983.75
1082,2025-08-27,North,Team A,Rep 4,Home Office,LinkedIn,Lead,7477,0.1,,747.7
1083,2025-03-29,East,Team B,Rep 3,Consumer,Facebook,Negotiation,19356,0.75,,14517.0
1084,2026-03-31,South,Team C,Rep 6,Consumer,Facebook,Closed Won,19795,1.0,2026-04-13,19795.0
1085,2025-12-10,East,Team A,Rep 3,Corporate,LinkedIn,Lead,12791,0.1,,1279.1000000000001
1086,2026-01-18,South,Team C,Rep 5,Corporate,Facebook,Proposal,15992,0.5,,7996.0
1087,2025-02-23,West,Team C,Rep 3,Consumer,Google,Lead,7103,0.1,,710.3000000000001
1088,2025-06-20,North,Team C,Rep 3,Consumer,LinkedIn,Negotiation,23264,0.75,,17448.0
1089,2026-02-24,West,Team B,Rep 8,Consumer,LinkedIn,Lead,24586,0.1,,2458.6000000000004
1090,2026-03-31,North,Team A,Rep 3,Corporate,Referral,Closed Lost,24534,0.0,2026-06-26,0.0
1091,2025-08-26,East,Team D,Rep 1,Corporate,Email,Lead,18559,0.1,,1855.9
1092,2026-03-16,South,Team B,Rep 4,Corporate,Facebook,Closed Lost,1537,0.0,2026-05-10,0.0
1093,2026-04-05,South,Team D,Rep 5,Home Office,Referral,Closed Won,9478,1.0,2026-08-01,9478.0
1094,2025-07-31,North,Team A,Rep 1,Consumer,Google,Proposal,11400,0.5,,5700.0
1095,2026-05-06,East,Team A,Rep 3,Home Office,Facebook,Negotiation,24016,0.75,,18012.0
1096,2025-06-07,North,Team D,Rep 2,Home Office,Facebook,Closed Won,13901,1.0,2025-08-31,13901.0
1097,2025-05-11,East,Team D,Rep 5,Consumer,Facebook,Closed Lost,13636,0.0,2025-07-17,0.0
1098,2026-01-08,East,Team D,Rep 6,Consumer,Google,Lead,4095,0.1,,409.5
1099,2025-12-14,West,Team D,Rep 8,Consumer,Facebook,Proposal,19946,0.5,,9973.0
1100,2025-03-18,East,Team A,Rep 4,Consumer,LinkedIn,Lead,8739,0.1,,873.9000000000001
1101,2026-03-31,South,Team D,Rep 7,Corporate,Google,Proposal,2750,0.5,,1375.0
1102,2025-04-20,East,Team C,Rep 2,Consumer,LinkedIn,Lead,24697,0.1,,2469.7000000000003
