Month,Total_Sales,Total_Profit,Total_Orders,Sales_Growth_%
2025-01,441696.6,148703.6,62,
2025-02,474577.25,166689.25,59,7.444170953545948
2025-03,478533.7,162807.7,61,0.8336788162517372
2025-04,372298.15,124914.15000000001,46,-22.20022330715684
2025-05,342751.8,117928.8,45,-7.936206505458065
2025-06,518120.0,161508.0,63,51.16477871159248
2025-07,390196.75,131920.75,51,-24.689888442831776
2025-08,425319.05,144131.05,52,9.001176970336111
2025-09,416500.95,134901.95,46,-2.073290627353741
2025-10,437485.2,139081.2,68,5.038223802370689
2025-11,382623.5,115804.5,50,-12.54024136130777
2025-12,501592.85,165026.85,63,31.093058842439092
2026-01,454642.6,140161.6,55,-9.360231111747307
2026-02,391679.65,123690.65,49,-13.848889215396875
2026-03,529494.15,167852.15,67,35.18551448868992
2026-04,442507.45,147146.45,49,-16.42826459933504
2026-05,398228.5,139791.5,49,-10.006373903987386
2026-06,593330.6,183251.6,65,48.992500536752125
